champion,voice_line,is_spoken
Aatrox,"To war, Aatrox! They shall not rob us of our nobility! We shall stand, and spit venom at our tormentors for eternity!",True
Aatrox,I do not obey! I cannot lay down! I will be the ender of all things!,True
Aatrox,"We march to battle... Let me carve flesh, let me cloak myself in the slaughter! Hide me in their carnage... Hide me from this suffering...",True
Aatrox,"I shall regard their cries as braying steeds, waiting to be whipped, broken, and bridled!",True
Aatrox,I am in a cage within a prison... But this foul shape reminds me of my purpose!,True
Aatrox,Do you see my edge?! Your death awaits!,True
Aatrox,"Pray, fool! You face a Darkin.",True
Aatrox,This violence shall amuse!,True
Aatrox,Our duel begins.,True
Aatrox,Come closer! I will show you... darkness!,True
Aatrox,"Come, fight me!",True
Aatrox,"Tricks, Akali? They will not hide you from me, face your doom.",True
Aatrox,"Another foolish god, even the phoenix shall end.",True
Aatrox,"Scissors for legs... Okay, I thought I had seen stupid designs before... Alright, let's go.",True
Aatrox,"Look at your noble courage, Darius! Now learn... despair.",True
Aatrox,"You are unloved, Mundo! Now, face judgement!",True
Aatrox,"I know your name, Fiora. This is not a duel you shall win.",True
Aatrox,A statue? Rock shatters as easily as bone! Come!,True
Aatrox,Guns and oranges? Are you a cliché or a joke? Come! Fight! Die!,True
Aatrox,"Scream 'Demacia', Garen! Scream its name before I crush you, and it!",True
Aatrox,"I kill gods, priestess. Let us continue this fight... until all things stop!",True
Aatrox,"A worthy vessel! Come, Jax!",True
Aatrox,"You would rush towards me, Kai'Sa? What fool would build a strategy on that idea? Come, let us begin.",True
Aatrox,"Let me show you your error, Kayle! You are not worthy of ascension! You, are not worthy of the worms!",True
Aatrox,"Ooh, a shadow warrior! How edgy!",True
Aatrox,"I did not think my fellows weak, Rhaast! Already you disappoint me!",True
Aatrox,"A lightning squirrel?"" *Laughs* ""Thank you! Your death will amuse me!",True
Aatrox,"Are you a joke, you loud, horrible thing? I shall kill you and your steed!",True
Aatrox,"Where is your head, rock thing? Where is the neck I shall sever?",True
Aatrox,"Am I challenged by a tree?! Fine, let me build a pyre from you!",True
Aatrox,"You would bind yourself to this realm. Morgana? Fine, let me show you the ground!",True
Aatrox,"Nasus, is your wisdom enough to know your fate? I am your death!",True
Aatrox,"Your noble purpose amuses me, Nautilus! Fight me, see true death!",True
Aatrox,"Hail father Ornn, god of fire and forge!"" *Laughs* ""I am Aatrox, and I am the god killer!",True
Aatrox,Hail Pantheon! Let me hear you cry of friendship! Let me hear you scream of brotherhood!,True
Aatrox,Hail Pantheon! See the weapon I have become! Watch as you are destroyed!,True
Aatrox,Hail Pantheon! How noble and proud he carries himself! Come betrayer! Come fiend!,True
Aatrox,"A bird? You would challenge me with a bird?!"" *Laughs* ""Come!",True
Aatrox,"Renekton! In your madness, you know my suffering! Though I shall end yours.",True
Aatrox,"Riven, dance, child! That broken blade is no match for me!",True
Aatrox,"You would challenge me in a machine? You are a strange spirit, Rumble.",True
Aatrox,"A spirit blade, master Shen? Test it agaist me, let me shatter your illusions!",True
Aatrox,Yes Sion! I kill even that which will not die! I end all things!,True
Aatrox,"Hail the protector! Hail Taric, aspect of- get a haircut!",True
Aatrox,"Cowardly spirit, how annoying you are! I will savour killing you, Teemo!",True
Aatrox,"A troll king?! Come! Defend your throne, king of trolls!",True
Aatrox,"*Laughs* ""Yes, Tryndamere! I am the cause of your suffering! See if you can cut justice from me!""",False
Aatrox,"I wait for you, Tryndamere! Come, take your vengeance!",True
Aatrox,"Remember the screams of your kinsmen as you fall to me, Tryndamere!",True
Aatrox,"Rage? You are just flesh, Tryndamere, ready for harvesting!",True
Aatrox,You would end worlds? As a bow?!,True
Aatrox,"I will not send you to death, Yorick! I bring oblivion!",True
Aatrox,"I know it was you, trickster! You gave them the tools to trap me! Come, let me kill you! A thousand times isn't enough!",True
Aatrox,My will... is beyond death!,True
Aatrox,I am Darkin! I do not die!,True
Aatrox,"Behold, immortality!",True
Aatrox,A scythe? A scythe?! Are you planning on murdering fields of wheat?!,True
Aatrox,"I chose a sword, the noblest weapon, Rhaast. You- seriously I don't understand... Were you trapped in the gardening section?",True
Aatrox,"We all agreed on the double 'A' thing, Varus. The double 'A' thing!",True
Aatrox,"Varus, 'V' 'A' 'R' 'U' 'S', your name should have an 'A' and then another 'A', Varus. There was a memo, Varus, there was a memo!",True
Aatrox,I will find a way to tear down the heavens and reveal you as fiends! Not today obviously...,True
Aatrox,"Do I resemble you, abomination? Your form isn't my destiny... is it? You don't know how to talk, do you? Shit...",True
Aatrox,"I am like a demon, but more edgy, right? You know, cause I'm a sword. Hmm...",True
Aatrox,"So uh, I'm Aatrox. I'm a transcendental being trapped inside cutlery... What's your deal?",True
Aatrox,"Uh, nice world you have here. I intend to destroy it, you know, FYI.",True
Aatrox,Aatrox laughs,False
Aatrox,"Come, let me show you darkness!",True
Aatrox,Fight! Join me in death!,True
Aatrox,Your death awaits!,True
Aatrox,"I will hack and chop and cleave, and sunder the filth of your forms!",True
Aatrox,"I am not your enemy, I am the enemy!",True
Aatrox,I am Darkin! Your gods fear me!,True
Aatrox,I will sever your limbs! I will carve your souls!,True
Aatrox,Carnage is my method.,True
Aatrox,"I can smile, and murder while I smile.",True
Aatrox,"Suffer, as I suffer!",True
Aatrox,Carnage... Hoooooome...,True
Aatrox,Hear this cursed form sing!,True
Aatrox,Sorrow... I shall deliver it to you.,True
Aatrox,"I begged for death, now I am its bringer!",True
Aatrox,I am the god killer!,True
Aatrox,"Come!"" *Grunt* ""Destiny awaits!",True
Aatrox,"You would fight me?! Come, let me show you hell!",True
Aatrox,Your annihilation beckons!,True
Aatrox,Violence... distracts me from these chains!,True
Aatrox,Aatrox snarls.,False
Aatrox,Aatrox roars.,False
Aatrox,"I come for you, Pantheon.",True
Aatrox,"The power of an aspect, wasted on a fool!",True
Aatrox,"I killed your tribe. Now, join them!",True
Aatrox,Tryndamere! This is your destiny!,True
Aatrox,"I will gut you, and tear you from existence, trickster!",True
Aatrox,Aspect of change! Now you die!,True
Aatrox,Aatrox yells.,False
Aatrox,Aatrox grunts.,False
Aatrox,Fight! Or be forgotten!,True
Aatrox,Become... hate!,True
Aatrox,I offer you victory!,True
Aatrox,Let blood be our sacrament!,True
Aatrox,Follow me into destruction!,True
Aatrox,This is your absolution.,True
Aatrox,"To the end of times, I shall kill you again and again.",True
Aatrox,This was reckoning.,True
Aatrox,You die... a fool.,True
Aatrox,"I brought you the one true gift, I brought you... death!",True
Aatrox,Your broken form speaks only of failure.,True
Aatrox,"Carnage, my last joy.",True
Aatrox,This is the silence I seek.,True
Aatrox,I will have silence.,True
Aatrox,Resurrect! Return! So I may kill you again...,True
Aatrox,This is my gift to mortals.,True
Aatrox,I sing only in your deaths.,True
Aatrox,"I do not need to show my mastery, it is self-evident.",True
Aatrox,"Resurrection, an endless cycle of life... A dead bird.",True
Aatrox,"What foolish plan bore a woman such as you, Camille? You were a folly, crafted by an idiot.",True
Aatrox,"The axe suited you, Darius, the weapon of a simpleton!",True
Aatrox,"I expected you to be nimble, Fiora. Too easily, my blade crushed your spine.",True
Aatrox,"Yo ho, Gangplank, yo ho.",True
Aatrox,"Demacia!"" *Laughs* ""Whatever 'Demacia' is, I will slay it next!",True
Aatrox,"In time I will learn how to kill even your god, Illaoi!",True
Aatrox,"I cannot know if I was corrupted by the void, but at least my choices were not asinine.",True
Aatrox,"Die, Kayle, knowing your potential will never be reached.",True
Aatrox,I cannot have brotherhood with incompetence.,True
Aatrox,What is property? Why did this dead hamster want me off of it?,True
Aatrox,"I kill mountains, Malphite! Dumb piles of rocks!",True
Aatrox,"Hear me, tree spirit. Your form is but kindling, and your forests I will burn!",True
Aatrox,"You disgust me, Morgana. Die in the filth of your bound flesh!",True
Aatrox,"Yes, Shurima was meant to fall, Nasus, as were you!",True
Aatrox,Journey back to the deep!,True
Aatrox,"Ornn, like all gods, you disappoint!",True
Aatrox,"Pantheon, you crawl forward like a worm! Ready to be squashed again?",True
Aatrox,"Now your body matches your blade, Riven: broken and worthless!",True
Aatrox,"Die, Shen, knowing the Eye of the Twilight is blinded and plucked.",True
Aatrox,"You fought to live, Sion, yet it is I who am still alive. This at least amuses.",True
Aatrox,"Lord of starlight, lord of hair! I trample on your corpse, Taric! I spit on your aspect's purpose!",True
Aatrox,"A spirit for cowards, I laugh at your tricks and mushrooms!",True
Aatrox,"I thought you my next vessel, Tryndamere. Pity, you failed even to become a slave.",True
Aatrox,"Return again to your prison, Varus. Think upon your worthlessness!",True
Aatrox,"Honestly, a bow and two boys? What was your plan, Varus?",True
Aatrox,"How I loathe your freedom, trickster! I will take this vengeance upon you, until the end of times!",True
Aatrox,"Mastery? I must congratulate you, obviously your parents never had reason to.",True
Aatrox,"Yes, your mastery is the master of masters! I am fighting... an imbecile...",True
Aatrox,"Somehow, I doubt you've mastered self-esteem.",True
Aatrox,"Mastery, how I idolise your greatness! Though I suspect your weapon lacks... impact.",True
Aatrox,"Ah, mastery, well done! Now master your insignificance.",True
Aatrox,"Insects, you think you can kill me? Behold my curse!",True
Aatrox,You cannot destroy me!,True
Aatrox,I do not die!,True
Aatrox,"*Grunt* ""Nothing can kill me!""",False
Aatrox,I return!,True
Aatrox,"*Laughs* ""Yes! Fight me!""",False
Aatrox,I... am not a mortal!,True
Aatrox,Did you think you could kill me?!,True
Aatrox,You think you can kill me?,True
Aatrox,"As long as life exists, as long as time has meaning, I am not done!",True
Aatrox,Aatrox gasps.,False
Aatrox,"Aatrox gasps, then roars.",False
Aatrox,Aatrox groans.,False
Ahri,Don't you trust me?,True
Ahri,Playtime's over.,True
Ahri,Shall we?,True
Ahri,Indulge me.,True
Ahri,How tempting.,True
Ahri,Don't hold back.,True
Ahri,Tell me a secret.,True
Ahri,I know what they desire.,True
Ahri,"""Should I make your pulse rise? Or... stop!"" *Giggles*",False
Ahri,"If you'd like to play with me, you'd better be sure you know the game.",True
Ahri,"""Come try your luck, if you think you're in my league."" *Giggles*",False
Ahri,Ahri laughs.,False
Ahri,Plays a segment of her theme.,False
Ahri,Ahri grunts.,False
Ahri,They're mine now.,True
Ahri,It's too late for mercy.,True
Ahri,Let's have some real fun.,True
Ahri,No one will stand in my way.,True
Ahri,They've exhausted their use.,True
Ahri,Ahri dances to a tune.,False
Ahri,Ahri plays a game on her arcade cabinet before entering it.,False
Ahri,"Ahri dances to an instrumental version of ""POP/STARS"".",False
Ahri,Ahri groans.,False
Ahri,"A stripped-down version of ""A New Horizon"" plays, which then switches to ""Burning Bright"".",False
Ahri,"Come on Kiko, we're the life of the party.",True
Ahri, Kiko chirps.,False
Ahri,The First Star doesn't control my destiny! I do.,True
Ahri,The darkest night makes for the brightest stars!,True
Ahri,I don't want to think about the past. Or the future.,True
Ahri,Falling in love. That's how a star falls.,True
Ahri,A guardian gives everything they've got!,True
Ahri,"Put your game face on, girls.",True
Ahri,Star guardians are in it to win it.,True
Ahri,Let's show'em what we're made of! Starlight!,True
Ahri,Starlight binds us.,True
Ahri,Fight for each other! Nothing else matters.,True
Ahri,A world without my sisters isn't worth saving.,True
Ahri,Time to Supernova!,True
Ahri,"The frenemy of my enemy is my... friend? Ugh, something like that.",True
Ahri,Right! They're all going to be cosmic dust!,True
Ahri,"Have you ever been in love, Kiko?",True
Ahri,Aww... That's sweet.,True
Ahri,Winning first Kiko.... then ice cream sundaes!,True
Ahri, Kiko chirps happily.,False
Ahri,Kiko! Such language.,True
Ahri,Of course they look up to me. Half the time I'm flying.,True
Ahri,Time to save the world!,True
Ahri,Let's light up the sky!,True
Ahri,Change is coming!,True
Ahri,Heavenly body coming through!,True
Ahri,I'm playing on nothing but heart!,True
Ahri,No one controls me!,True
Ahri,I don't accept destiny... I defy it!,True
Ahri,Starshine makes everything better!,True
Ahri,I can't help it if I'm a natural leader.,True
Ahri,This star follows her own path!,True
Ahri,It can be a burden to shine so bright!,True
Ahri,Starlight is my spotlight!,True
Ahri,All I get is attention!... I was hoping for obsession.,True
Ahri,"*Giggles* ""Tails don't lie!""",False
Ahri,Who's afraid of a little fighting?... I've survived gym class.,True
Ahri,Loving too deeply. That's how a star falls.,True
Ahri,I'm always chasing the moment!,True
Ahri,I think I need a new orbit.,True
Ahri,They want to kill me or be me! Either way it's kinda all about me.,True
Ahri,Love will tear us apart... If the creatures from an alternate dimension don't first.,True
Ahri,"I fight for love, justice and beauty!... But mostly beauty.",True
Ahri,Starlight will prevail!,True
Ahri,"You can't judge a girl just by how she looks!... Except for me, of course.",True
Ahri,My soul is in the sky...,True
Ahri,"Sometimes, we have to change the stars.",True
Ahri,"People follow stars, Kiko. But what do stars follow?",True
Ahri,Love and hope spring forth from the stars! That's worth fighting for!,True
Ahri,I can't help it if I woke up like this.,True
Ahri,Speed of light? No problem.,True
Ahri,Ugh. I do not have time for this.,True
Ahri,Hey! Kiko!...,True
Ahri,"Oh, cut it out!",True
Ahri,"Ugh, Kiko...",True
Ahri,"Oh, quit it Kiko!",True
Ahri,Uugghhh!,True
Ahri,"Uh, hehe! Come here you little rascal!",True
Ahri,"Oh, I totally just tied that...",True
Ahri,"Bah! Uh, wha? Eh. Huh? Huh?",True
Ahri,Magical Girl Make-up tip: Moisturize with the tears of your enemies.,True
Ahri,"If looks could kill, you'd already be dead.",True
Ahri,Eat stardust! Maybe then you can be pretty on the inside!,True
Ahri,Thanks for oversharing.,True
Ahri,You can't throw shade on a star!,True
Ahri,"Oh, don't worry! I'm way out of your league.",True
Ahri,Oh I heard you! I just don't care!,True
Ahri,How about a line I haven't heard? Then I'll be impressed.,True
Ahri,Talk to the tails cause this fox isn't listening.,True
Ahri,I'm a little busy... can I ignore you later?,True
Ahri,"Ugh, puh-lease!",True
Ahri, Kiko plays with Ahri's tail.,False
Ahri,By starlight!,True
Ahri,Hey! The starlight in my eyes is up here!,True
Ahri,"Yes, I'm the popular one.",True
Ahri,"Hey, the stars called, they want you dead.",True
Ahri,"By the First Star, I will totally punish you!",True
Ahri,I will defend the stars!,True
Ahri,Come on and fight like a girl!,True
Ahri,I am stronger than starlight.,True
Ahri,Put your heart into it!,True
Ahri,I was voted 'Most likely to kill you.',True
Ahri,Wanna know a secret? Too bad!,True
Ahri,Ugh. You're going to fight me wearing that?,True
Ahri,I'll be nicer if you get smarter!,True
Ahri,I'm so over this!,True
Ahri,I've totally got this.,True
Ahri,You need to lighten up!,True
Ahri,"I don't mean to tease, it's just so easy!",True
Ahri,"Awww, did you want my attention?",True
Ahri,"Yeah, keep chasing stars. See where that gets you.",True
Ahri,Me looking for trouble is like you chasing my tail!,True
Ahri,I'm smiling because I'm going to hit you in the face!,True
Ahri,You're kinda cute when you're losing.,True
Ahri,Here's a twinkle in your eye.,True
Ahri,Your inner star is an ugly colour.,True
Ahri,Ew! I don't like you.,True
Ahri,"Why yes, I did just fall from heaven!",True
Ahri,Petty is so close to pretty... just not close enough.,True
Ahri,There's a black hole where your personality should be.,True
Ahri,I'm the first and LAST star you'll see tonight!,True
Ahri,This is how you know I like you.,True
Ahri,Wanna see something cute?,True
Ahri,I'm going to kill you. That's what the fox says.,True
Ahri,Kiko here tells me you're full of it!,True
Ahri,"Go get'em, Kiko!",True
Ahri,"Let's show'em starlight, Kiko!",True
Ahri,"You're such a show off, Kiko!",True
Ahri,"Time to grow up, star boy.",True
Ahri,All that sparkle and still no personality.,True
Ahri,There's more at stake than glitter bombs.,True
Ahri,You're gonna need to turn the psycho wayyy down.,True
Ahri,Hey! Your crazy is showing.,True
Ahri,Nice planet you've got here Lux.,True
Ahri,"Before you judge, remember... I am your future.",True
Ahri,"Nothing personal, Sarah.",True
Ahri,I just can't even.,True
Ahri,Innocence is going to get you killed.,True
Ahri,I'm not doing this for you.,True
Ahri,You look like one of those girls who hang out under the bleachers.,True
Ahri,O. M. G. It can speak.,True
Ahri,"If I throw a stick, will you leave?",True
Ahri,Stop trying to make fetch happen...,True
Ahri,"Your boyfriend called, again...",True
Ahri,"Playtime's over, Baron!",True
Ahri,"Ugh, total dragon breath.",True
Ahri,Someone tutor me in algebra while we slay this dragon.,True
Ahri,Starlight Reflection!,True
Ahri,Time to ignite some stardust!,True
Ahri,Stardust power activate!,True
Ahri,Let's light'em up!,True
Ahri,Ahri grunts,False
Ahri,Hey there!,True
Ahri,"Charmed, I'm sure.",True
Ahri,Oh?,True
Ahri,"Oh, you're cute. What a waste.",True
Ahri,Come closer...,True
Ahri,Ahri laughs,False
Ahri,Let's be young forever...!,True
Ahri,"Maybe I like you, maybe not.",True
Ahri,Ahri sighs,False
Ahri,Being bad does have its charms.,True
Ahri,Let's pretend this is love.,True
Ahri,This will make your heart go Supernova.,True
Ahri,Say hello to your teen dream.,True
Ahri,Kiko Spirit Dash!,True
Ahri,Maximum sass achieved!,True
Ahri,Oh Kiko... You can dance on the corpse of the next one.,True
Ahri,"No Kiko, they dress that way on purpose.",True
Ahri,"Everyone sparkles, I'm just a tiny bit brighter!",True
Ahri,Young love never lasts.,True
Ahri,Learn to take a hint.,True
Ahri,"*Giggles* ""My bad!""",False
Ahri,"Next time, I'll try caring! I promise.",True
Ahri,That was totally worth it!,True
Ahri,I love the sound you make when you shut up.,True
Ahri,How embarrassing. For you.,True
Ahri,"Too bad, so sad.",True
Ahri,Overreact much?,True
Ahri,"Chase the light, and you're going to get burned!",True
Ahri,Bad choices make the best stories.,True
Ahri,Jealousy is an illness. Hope you get better soon.,True
Ahri,"I know, that was totes unfair!",True
Ahri,I'm the girl your team told you not to worry about.,True
Ahri,"Aww, sad face... just kidding.",True
Ahri,Jealous much?,True
Ahri,How tragic.,True
Ahri,I totally meant that.,True
Ahri,Looks like someone forgot how to be awesome.,True
Ahri,Keep trying! You'll get there.,True
Ahri,That's not swagger! That's sparkle.,True
Ahri,"*Giggles* ""Oops!""",False
Ahri,"Being bad feels preety good, huh?",True
Ahri,No regrets...,True
Ahri,Not everyone has what it takes.,True
Ahri,Don't lose your sparkle!,True
Ahri,It takes more than stardust to get this right.,True
Ahri,True stars defy darkness!,True
Ahri,Crushed it!,True
Ahri,You were dulling my twinkle.,True
Ahri,"*Giggles* ""That was sooo much fun!""",False
Ahri,Don't like me? I'll try to remember to cry about it later.,True
Ahri,Go ahead. Eat your heart out.,True
Ahri,Done-zo!,True
Ahri,I don't think death is your colour!,True
Ahri,That was amaze-balls!,True
Ahri,Haters gonna hate.,True
Ahri,I guess you couldn't hang with the cool kids!,True
Ahri,"It's not the big lies that tear us apart, Janna! It's the little secrets.",True
Ahri,Just a rebel without a cause...,True
Ahri,Not everything is starshine and rainbows...,True
Ahri,"Suck it up, Starlight.",True
Ahri,Being a good girl can get you killed!,True
Ahri,"We're not sisters, just strangers with memories.",True
Ahri,You were never alone.,True
Ahri,"Sorry, sister.",True
Ahri,"Lemme guess, hammer?",True
Ahri,Sacrifice was always in your destiny!,True
Ahri,So pure... So bright...,True
Ahri,Destiny is crueler than you can imagine.,True
Ahri,Mystery did have its charm... just not enough.,True
Ahri,There are no good girls gone wrong. Just bad girls found out.,True
Ahri,Awkward!,True
Ahri,"For the last time, the sparkles are for Star Guardians!",True
Ahri,Burning bright has a price.,True
Ahri,"Next time, burn brighter.",True
Ahri,Some stars were meant to fall!,True
Ahri,All stars burn out eventually.,True
Ahri,"Some stars have it, some don't.",True
Ahri,The best defense is a good offense.,True
Ahri,Just one more!,True
Ahri,It's hard to be humble when you've got this much sparkle!,True
Ahri,Hashtag Killing it!,True
Ahri,Yum... strawberry!,True
Ahri,Totally worth the calories!,True
Ahri,Star guardians gotta stay hydrated!,True
Ahri,The stars see everything!,True
Ahri,Time for a fox-eye view!,True
Ahri,Eyes on the prize!,True
Ahri,"A shortened version of ""A New Horizon"" plays.",False
Ahri,"*Giggles* ""Just a fox on the run!""",False
Ahri,Byeee!,True
Ahri,I'm just too magical for this. Laters!,True
Ahri,Destiny can't catch me.,True
Ahri,"*Giggles* ""Shine on!""",False
Ahri,Goodbye... Kiko...,True
Ahri, Kiko cries.,False
Ahri,Tell them... I tried...,True
Ahri,Ahri cries.,False
Ahri,Come on Kiko! Time to play!,True
Ahri,Seize the day! Starlight doesn't last forever.,True
Ahri,My fight isn't over!,True
Ahri,Stars don't quit! We're reborn!,True
Ahri,Good girls get even!,True
Ahri,Everything finds its way to the spirit realm eventually. Our opponents seem eager to get there quickly.,True
Ahri,Hello everyone! I'm Ahri. I'll be your guide to the afterlife.,True
Ahri,Oh. I'm here early. Usually I don't show up until after someone dies.,True
Ahri,"Well, we're here. Might as well have some fun. Who's up for a spirited chase?",True
Ahri,"Hey, another spirit! Meet any interesting mortals lately? Me neither.",True
Ahri,Careful. If you see a light out there... don't follow it.,True
Ahri,Death is so full of life.,True
Ahri,Spirits can't find their way without me.,True
Ahri,I wonder what it's like... to meet me.,True
Ahri,Moving forward's not so hard.,True
Ahri,Life must be so wondrous.,True
Ahri,You can't find peace standing still.,True
Ahri,Run faster! Ehehe!,True
Ahri,"Mortals. Slow to learn, quick to follow.",True
Ahri,"Death isn't a cycle, just a moment.",True
Ahri,Mortals can't help but chase death.,True
Ahri,Spirits follow wherever I go.,True
Ahri,It's only a hunt if there's prey.,True
Ahri,I wish I could hear all the stories they tell about me.,True
Ahri,Usually spirits follow me without question. I prefer a chase.,True
Ahri,Spirits are too light for heavy burdens.,True
Ahri,"Mortals have two choices, follow me, or don't.",True
Ahri,Must spirits run everywhere? Exhausting.,True
Ahri,I should get out of the spirit realm more often.,True
Ahri,"Life moves pretty quick, but never faster than me.",True
Ahri,"Mortals struggle so fiercely, fun!",True
Ahri,"Every spirit forgets itself eventually, but I'm always on their horizon.",True
Ahri,Souls may forget they've ever lived. Obsession begins when they forget they've died.,True
Ahri,Mortals never stop running around and they're so serious about it.,True
Ahri,"Spirits wear masks, but they can't always... take them off.",True
Ahri,What's so good about life? You just forget it all.,True
Ahri,"Lingering spirits lose themselves, but me? I never get lost.",True
Ahri,"Mortals see death as a patient hunter, but it's not after them.",True
Ahri,The spirit realm is so quiet. This is a nice change of pace.,True
Ahri,The forest goes on forever. It only stops... when you do.,True
Ahri,"Ah, Cassiopeia. The temptress... without the charm.",True
Ahri,Wolf! Lamb! Play with me!,True
Ahri,Can Lillia come out to play?,True
Ahri,"Riven, how much of you is lost to that blade?",True
Ahri,"Teemo, you're so cute. No idea why the others find you so annoying.",True
Ahri,Greetings Thresh. Count your spirits lately?,True
Ahri,"Careful, Vayne. Pretend hunters get real fangs.",True
Ahri,"Hello, Yasuo. Did you ever figure out a leaf's purpose?",True
Ahri,Yone! Don't worry! I think you're just as cool as your little brother.,True
Ahri,Ahri briefly transforms into her Mega Fox form.,False
Ahri,Ahri growls.,False
Ahri,Show me your... teeth! Rawr!,True
Ahri,Ooooh. Ferocious.,True
Ahri,"Ahri turns into a fox and leaps into the spirit realm to hunt, only to have her head become stuck inside.",False
Ahri,Let's go hunting! ...Maybe another time?,True
Ahri,Hear that?,True
Ahri,Most don't forget their sense of humor... unless you never had one?,True
Ahri,Ahri dances to a traditional tune playing from her orb.,False
Ahri,Sound effect,False
Ahri,Don't linger!,True
Ahri,Poor unfortunate souls!,True
Ahri,Get lost!,True
